f,AVR,PSS,SUM,AMP,ParaName,ParaValue
0.1,-15.0,-43.231132580413835,-58.231132580413835,0.17001092965819575,PSSSet,-90.0
0.2,-33.0,-49.37851252963215,-82.37851252963215,0.09506223874072448,Ks1,1.0
0.3,-47.0,-44.9622237577449,-91.96222375774491,0.06847469846762788,Ks2,0.58014
0.4,-60.0,-38.495853439872974,-98.49585343987297,0.05603610811999021,Ks3,1.0
0.5,-66.0,-31.85340946648699,-97.853409466487,0.049467412613528175,Tw1,5.0
0.6,-68.0,-25.65575295503523,-93.65575295503523,0.04586477586326587,Tw2,5.0
0.7,-70.0,-20.121597325325904,-90.12159732532591,0.043954462160006834,Tw3,5.0
0.8,-76.0,-15.303898613792875,-91.30389861379288,0.043090384412320715,Tw4,0.0
0.9,-77.0,-11.180868896744515,-88.18086889674451,0.04290949332468312,T1,0.18
1.0,-82.0,-7.6979798478265655,-89.69797984782656,0.04319158511942508,T2,0.03
1.1,-89.0,-4.788916808502794,-93.78891680850279,0.04379492421532993,T3,0.2
1.2,-99.0,-2.3861303142055186,-101.38613031420552,0.044623844987221294,T4,0.03
1.3,-116.0,-0.4259118991578325,-116.42591189915784,0.04561123194624515,T5,0.0
1.4,-119.0,1.14945694199114,-117.85054305800887,0.046708478968088385,T6,0.0
1.5,-113.0,2.3910964581629086,-110.6089035418371,0.04787945135822245,T7,5.0
1.6,-108.0,3.3436962838183537,-104.65630371618164,0.049096704395592064,T8,0.6
1.7,-110.0,4.046039555415549,-105.95396044458445,0.05033903071019504,T9,0.12
1.8,-107.0,4.53165809050079,-102.46834190949922,0.05158981994471862,M,5.0
1.9,-111.0,4.8295020262772415,-106.17049797372276,0.052835931203930764,N,1.0
2.0,-107.0,4.964567657859288,-102.03543234214071,0.05406689846221513,Tj,8.618
