Hz,AVR,PSS,AVR_PSS,PSS_Gain,Tw,Ks,Ts,M,N,Tj
0.1,-20,-38.0748945939,-58.0748945939,0.139985919329,5.0,1.0,0.260748918086,5.0,1.0,8.56
0.2,-52,-39.6223018336,-91.6223018336,0.113880498426,5.0,0.584112149533,0.0277390168338,,,
0.3,-70,-31.5248726251,-101.524872625,0.10176795451,5.0,1.0,0.260747043388,,,
0.4,-74,-22.4000528751,-96.4000528751,0.0955018409286,0.0,,0.0277390165152,,,
0.5,-78,-14.0293924949,-92.0293924949,0.0920318330388,,,1.0,,,
0.6,-81,-6.84882579026,-87.8488257903,0.0900638332017,,,1.0,,,
0.7,-85,-0.879346621828,-85.8793466218,0.0889672631206,,,5.0,,,
0.8,-88,3.99641572126,-84.0035842787,0.0884021189916,,,0.6,,,
0.9,-94,7.93145835088,-86.0685416491,0.0881710126966,,,0.12,,,
1.0,-95,11.0748795139,-83.9251204861,0.088152878803,,,,,,
1.1,-97,13.5582556006,-83.4417443994,0.0882703250889,,,,,,
1.2,-105,15.4927602945,-89.5072397055,0.0884723063788,,,,,,
1.3,-109,16.9704681649,-92.0295318351,0.0887243608298,,,,,,
1.4,-125,18.0670041512,-106.932995849,0.0890028304214,,,,,,
1.5,-130,18.8443591304,-111.15564087,0.0892912971036,,,,,,
1.6,-122,19.353428661,-102.646571339,0.0895783083557,,,,,,
1.7,-106,19.636150423,-86.363849577,0.0898558826771,,,,,,
1.8,-104,19.7272452792,-84.2727547208,0.0901185027711,,,,,,
1.9,-97,19.6556125031,-77.3443874969,0.0903624225865,,,,,,
2.0,-101,19.4454396562,-81.5545603438,0.0905851814899,,,,,,
